"Item ID #","Supplier Stock Ref","Cut","Carat","Color","Natural Fancy Color","Natural Fancy Color Intensity","Natural Fancy Color Overtone","Treated Color","Clarity","Make (Cut Grade)","Grading Lab","Certificate Number","Certificate Path","Image Path","Online Report","Price Per Carat","Total Price","Polish","Symmetry","Measurements (LengthxWidthxHeight)","Depth","Table","Crown Height","Pavilion Depth","Girdle (From / To)","Culet Size","Culet Condition","Graining","Fluorescence Intensity","Fluorescence Color","Enhancement","Supplier","Country","State / Region","Remarks","Phone","Pair Stock Ref.","Email","priceVariance","rareCaretPrice","idexPrice"
"94888774","586113","Round","0.31","D","","","","","SI2","Excellent","GIA","1146247653","http://DiamondTransactions.net/icp?di=94888774","","","1425","441.75","Excellent","Excellent","4.39x4.41x2.62","59.6","60","13","43","Medium","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.7152103559870551,618,"441.75"
"97995827","613591","Round","0.31","J","","","","","VS1","Excellent","GIA","2161448653","http://DiamondTransactions.net/icp?di=97995827","","","1200","372.00","Excellent","Excellent","4.4x4.44x2.65","59.9","59","13","43.5","Medium","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.6666666666666666,558,"372.00"
"97995848","613635","Round","0.31","E","","","","","SI2","Excellent","GIA","2161454234","http://DiamondTransactions.net/icp?di=97995848","","","1350","418.50","Very Good","Excellent","4.35x4.36x2.65","60.9","58","14","43","Medium / Slightly Thick","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.3491666666666667,1199.99,"418.50"
"97997283","613632","Round","0.31","E","","","","","SI2","Excellent","GIA","2161454232","http://DiamondTransactions.net/icp?di=97997283","","","1314","407.34","Very Good","Very Good","4.29x4.34x2.69","62.5","58","14.5","44","Thin / Slightly Thick","None","","","Medium","Blue","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.7593283582089553,536,"407.34"
"98064840","611201","Round","0.31","F","","","","","SI2","Excellent","GIA","1175343758","http://DiamondTransactions.net/icp?di=98064840","","","1190","368.90","Very Good","Very Good","4.33x4.38x2.68","61.5","57","14","44","Medium / Slightly Thick","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.6770642201834862,545,"368.90"
"98078990","586129","Round","0.32","F","","","","","SI2","Excellent","GIA","1146247699","http://DiamondTransactions.net/icp?di=98078990","","","1190","380.80","Excellent","Excellent","4.39x4.4x2.73","62.1","56","15","43.5","Medium","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.6672504378283712,571,"380.80"
"98223142","619648","Round","0.31","D","","","","","SI2","Excellent","GIA","2161493156","http://DiamondTransactions.net/icp?di=98223142","","","1425","441.75","Excellent","Very Good","4.31x4.33x2.7","62.5","56","15","43.5","Medium / Slightly Thick","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.638728323699422,692,"441.75"
"98223143","619649","Round","0.32","D","","","","","SI2","Very Good","GIA","1166530578","http://DiamondTransactions.net/icp?di=98223143","","","1425","456.00","Very Good","Excellent","4.47x4.48x2.69","60.2","57","14.5","43","Very Thin / Thin","","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.7689713322091062,593,"456.00"
"98223165","619672","Round","0.39","D","","","","","SI1","Excellent","GIA","6167530594","http://DiamondTransactions.net/icp?di=98223165","","","1804","703.56","Excellent","Excellent","4.7x4.73x2.92","62","57","15","43.5","Medium","Very Small","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.9915492957746479,710,"703.56"
"98223166","619673","Round","0.31","D","","","","","SI2","Excellent","GIA","1166530584","http://DiamondTransactions.net/icp?di=98223166","","","1425","441.75","Excellent","Very Good","4.39x4.44x2.68","60.8","57","14","43.5","Thin / Medium","None","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.638728323699422,692,"441.75"
